,t,pressure_difference,phi,phi_min,R_tot,Q_tot,Q_norm,pt_averaged,kp_p,kp_n,Ap,Dp,kn_p,kn_n,An,Dn,c,dphidt,dApdt,dDpdt,dAndt,dDndt,dcdt
1223,3.2613333333333334,27.713144,0.9955414409654741,0.8720433858139945,9.212633072587216e-06,3008167.5653035883,0.8100390504999705,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995091476156,1.2134346771166692e-13,0.0016228710388662628,4.379562780040397e-05,0.9988714899811577,6.371084795457827e-07,1.0985204940556428,-0.01062338448696284,-1.496893895109902e-07,7.430902457833919e-14,-0.0016213641870057016,1.8343233405706138e-06,0.18216460786664168
1224,3.264,27.699472,0.9955131119401756,0.8717722656818923,9.212665764422588e-06,3006672.8467421057,0.8096365528405072,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995087484439,1.215416251105425e-13,0.0016236242377863112,4.304242888035548e-05,0.9988671663433257,6.42000008453971e-07,1.0990062663432871,-0.010668402871875276,-1.4968805894525312e-07,7.436942942696788e-14,-0.0016221041901234873,1.8421829245321404e-06,0.1823301389108356
1225,3.2666666666666666,27.6858,0.9954846628658506,0.8715011390000272,9.212698599476584e-06,3005178.0920709767,0.8092340454574422,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995083492758,1.217399435890144e-13,0.0016243654880932342,4.230117857343248e-05,0.998862840732152,6.469124962527234e-07,1.0994924800470494,-0.010713517534604644,-1.4968672839135903e-07,7.442983373795345e-14,-0.0016228323250566119,1.850038600125331e-06,0.18249590109440383
1226,3.2693333333333334,27.672128,0.9954560934857583,0.8712300057600261,9.21273157810579e-06,3003683.3012440386,0.8088315283383445,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995079501112,1.2193842314564894e-13,0.0016250949568819891,4.157170978467767e-05,0.9988585131792852,6.518459325197243e-07,1.099979135783301,-0.010758728483450296,-1.496853978493078e-07,7.449023751129587e-14,-0.0016235487580567077,1.8578903566931963e-06,0.18266189483685524
1227,3.272,27.658456,0.9954274035431357,0.8709588659535308,9.212764700667256e-06,3002188.4742152127,0.8084290014708062,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995075509501,1.221370637790124e-13,0.0016258128094565924,4.085385721007427e-05,0.9988541837159304,6.568003068042395e-07,1.1004662341695326,-0.010804035726721077,-1.4968406731909953e-07,7.455064074699518e-14,-0.001624253653585845,1.8657381848916659e-06,0.1828281205586202
1228,3.2746666666666666,27.644784,0.9953985927811978,0.8706877195721981,9.212797967518508e-06,3000693.6109385015,0.8080264648424411,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995071517926,1.2233586548767105e-13,0.0016265192093344331,4.014745733223348e-05,0.9988498523728542,6.617756086306173e-07,1.1009537758243555,-0.010849439272735066,-1.4968273680073413e-07,7.461104344505132e-14,-0.0016249471743211006,1.8735820766568841e-06,0.18299457868123925
1229,3.2773333333333334,27.631112,0.9953696609431372,0.8704165666077002,9.21283137901754e-06,2999198.7113679918,0.8076239184408858,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995067526387,1.225348282701912e-13,0.0016272143182510836,3.9452348415583244e-05,0.9988455191803893,6.667718275017023e-07,1.1014417613675054,-0.010894939129819843,-1.496814062942117e-07,7.467144560546432e-14,-0.0016256294811596232,1.8814220251727014e-06,0.18316126962707457
1230,3.28,27.617440000000002,0.9953406077721243,0.8701454070517235,9.212864935522819e-06,2997703.7754578507,0.8072213622537983,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995063534883,1.227339521251391e-13,0.0016278982961655884,3.876837050107857e-05,0.9988411841684396,6.717889529021628e-07,1.1019301914198443,-0.01094053530631225,-1.4968007579953214e-07,7.473184722823421e-14,-0.0016263007332241574,1.8892580248387183e-06,0.183328193819432
1231,3.2826666666666666,27.603768000000002,0.9953114330113074,0.8698742408959698,9.212898637393291e-06,2996208.803162329,0.8068187962688592,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995059543415,1.2293323705108106e-13,0.0016285713012662156,3.809536540045122e-05,0.9988368473664844,6.768269743017328e-07,1.1024190666033629,-0.010986227810558495,-1.496787453166955e-07,7.479224831336095e-14,-0.0016269610878690305,1.8970900712387997e-06,0.1834953516828941
1232,3.2853333333333334,27.590096000000003,0.9952821364038126,0.8696030681321552,9.21293248498838e-06,2994713.794435757,0.8064162204737707,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999995055551982,1.2313268304658336e-13,0.001629233489976653,3.7433176690013876e-05,0.9988325088035834,6.818858811583696e-07,1.1029083875411838,-0.011032016650914097,-1.496774148457018e-07,7.485264886084455e-14,-0.0016276107006865665,1.9049181611098975e-06,0.18366274364299828
